course-info,,,,,,,,,,,,,,,,,,,,,,,,
,course_code,string,primary key,,,,,,,,COMP1911,COMP9020,ENGG1811,COMP9319,COMP9313,COMP9334,COMP4418,COMP9024,COMP1531,COMP9517,COMP9417,COMP9418,COMP2521,COMP9032
,course_title,string,,,,,,,,,Computing 1A,Foundations of Computer Science,Computing for Engineers,Web Data Compression and Search,Big Data Management,Capacity Planning of Computer Systems and Networks,Knowledge Representation and Reasoning,Data Structures and Algorithms,Software Engineering Fundamentals,Computer Vision,Machine Learning and Data Mining,Advanced Topics In Statistical Machine Learning,Data Structures and Algorithms,Microprocessors and Interfacing
,course_url,string,,,,,,,,,http://cse.unsw.edu.au/~cs1911,http://www.cse.unsw.edu.au/~cs9020,http://www.cse.unsw.edu.au/~en1811,http://cse.unsw.edu.au/~cs9319,http://cse.unsw.edu.au/~cs9313,http://cse.unsw.edu.au/~cs9334,http://cse.unsw.edu.au/~cs4418,http://www.cse.unsw.edu.au/~cs9024,http://cse.unsw.edu.au/~cs1531,http://cse.unsw.edu.au/~cs9517,http://cse.unsw.edu.au/~cs9417,http://cse.unsw.edu.au/~cs9418,https://webcms3.cse.unsw.edu.au/COMP2521/19T3/,http://cse.unsw.edu.au/~cs9032/
,lecturer,string,,,,,,,,,Hayden Smith,Paul Hunter,,Raymond Wong,,,Maurice Pagnucco,Michael Thielscher,"Hayden Smith , Rob Everest","Prof Arcot Sowmya, Dr Yang Song, Prof Erik Meijering	",Michael Bain,Gustavo Batista,Ashesh Mahidadia ,Hui Guo
,admin,string,,,,,,,,,Hayden Smith,Paul Hunter,,Raymond Wong,,,Maurice Pagnucco,Michael Thielscher,"Hayden Smith , Rob Everest",Annette Spooner,Omar Ghattas,Armin Chitizadeh,,Hui Guo
,credit,string,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,faculty,string,foreign key,,,,,,,,Faculty of Engineering,Faculty of Engineering,Faculty of Engineering,Faculty of Engineering,Faculty of Engineering,Faculty of Engineering,Faculty of Engineering,Faculty of Engineering,Faculty of Engineering,Faculty of Engineering,Faculty of Engineering,Faculty of Engineering,Faculty of Engineering,Faculty of Engineering
,school,string,foreign key,,,,,,,,School of Computer Science and Engineering,School of Computer Science and Engineering,School of Computer Science and Engineering,School of Computer Science and Engineering,School of Computer Science and Engineering,School of Computer Science and Engineering,School of Computer Science and Engineering,School of Computer Science and Engineering,School of Computer Science and Engineering,School of Computer Science and Engineering,School of Computer Science and Engineering,School of Computer Science and Engineering,School of Computer Science and Engineering,School of Computer Science and Engineering
,campus,string,foreign key,,,,,,,,Kensington,Kensington,Kensington,Kensington,Kensington,Kensington,Kensington,Kensington,Kensington,Kensington,Kensington,Kensington,Kensington,Kensington
,hours,int,,,,,,,,,7,4,4,5,3,4,4,4,7,4,5,4,7,5
